smiles,mol_id,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,TOX3021,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O(CC)c1ccc2c(c1)sc(n2)S(=O)(=O)N,TOX3021,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
c1(sc2cc(OCC)ccc2n1)S(=O)(=O)N,TOX3021,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O(CC)c1ccc2nc(sc2c1)S(=O)(N)=O,TOX3021,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,TOX3024,,,,,,,,0.0,,0.0,,
C1CC2=CCCC[C@@H]2[C@@H]2[C@@H]1[C@H]1[C@](CC2)([C@@](CC1)(CC)O)C,TOX3024,,,,,,,,0.0,,0.0,,
[C@@H]12[C@@H]([C@@H]3C(=CCCC3)CC2)CC[C@]2([C@H]1CC[C@]2(CC)O)C,TOX3024,,,,,,,,0.0,,0.0,,
[C@H]12CCCC=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)CC,TOX3024,,,,,,,,0.0,,0.0,,
CC(O)(P(=O)(O)O)P(=O)(O)O,TOX3028,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
O=P(C(O)(C)P(=O)(O)O)(O)O,TOX3028,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
OP(=O)(O)C(P(O)(O)=O)(C)O,TOX3028,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
